tipo,ID,CIPI,nombre,desc
PIMET,781,AB46,SAN_NICOLAS_DE_LOS_ARROYOS,San Nicolas De Los Arroyos
PIMET,783,AB47,SANTA_TERESITA,Santa Teresita
PIMET,784,AB48,SIERRA_VENTANA,Sierra Ventana
PIMET,785,AA22,TANDIL,Tandil
PIMET,786,AA23,TRENQUE_LAUQUEN,Trenque Lauquen
PIMET,787,AA24,TRES_ARROYOS,Tres Arroyos
PIMET,788,AB49,CARMEN_DE_PATAGONES,Carmen De Patagones
PIMET,789,AA25,VILLA_GESELL,Villa Gesell
PIMET,790,AB50,ZARATE,Zarate
PIMET,791,AB51,JUAN_JOSE_CASTELLI,Juan Jose Castelli
PIMET,792,AA34,RESISTENCIA,Resistencia
PIMET,793,AA35,ROQUE_SAENZ_PEÑA,Roque Saenz Peña
PIMET,794,AB52,TACO_POZO,Taco Pozo
PIMET,795,AB53,ALTO_RIO_SENGUER,Alto Rio Senguer
PIMET,796,AB54,CORDILLERA_CHUBUT_CENTRO,Cordillera Chubut Centro
PIMET,797,AB55,CORDILLERA_CHUBUT_NORTE,Cordillera Chubut Norte
PIMET,798,AB56,CORDILLERA_CHUBUT_SUR,Cordillera Chubut Sur
PIMET,799,AA37,ESQUEL,Esquel
PIMET,800,AB22,PASO_DE_INDIOS,Paso De Indios
PIMET,801,AB57,SARMIENTO,Sarmiento
PIMET,802,AB10,TRELEW,Trelew
PIMET,803,AB58,ALTA_GRACIA,Alta Gracia
PIMET,804,AB59,CRUZ_DEL_EJE,Cruz Del Eje
PIMET,805,AA27,CORDOBA,Cordoba
PIMET,806,AB60,JESUS_MARIA,Jesus Maria
PIMET,807,AA28,LABOULAYE,Laboulaye
PIMET,808,AB61,LA_CUMBRECITA,La Cumbrecita
PIMET,809,AA29,MARCOS_JUAREZ,Marcos Juarez
PIMET,810,AA31,RIO_CUARTO,Rio Cuarto
PIMET,811,AB62,RIO_PRIMERO,Rio Primero
PIMET,812,AB63,SAN_FRANCISCO,San Francisco
PIMET,813,AB64,MINA_CLAVERO,Mina Clavero
PIMET,814,AA32,VILLA_DOLORES,Villa Dolores
PIMET,815,AA33,VILLA_MARIA_DEL_RIO_SECO,Villa Maria Del Rio Seco
PIMET,816,AB65,VILLA_CARLOS_PAZ,Villa Carlos Paz
PIMET,817,AA49,FORMOSA,Formosa
PIMET,818,AB66,INGENIERO_JUAREZ,Ingeniero Juarez
PIMET,819,AA50,LAS_LOMITAS,Las Lomitas
PIMET,820,AB67,BERNASCONI,Bernasconi
PIMET,821,AA54,GRAL_PICO,Gral Pico
PIMET,822,AB68,LIHUEL_CALEL,Lihuel Calel
PIMET,823,AB69,25_DE_MAYO,25 De Mayo
PIMET,824,AA55,SANTA_ROSA,Santa Rosa
PIMET,825,AB19,VICTORICA,Victorica
PIMET,826,AB70,CORDILLERA_NEUQUEN_CENTRO,Cordillera Neuquen Centro
PIMET,827,AB71,CORDILLERA_NEUQUEN_NORTE,Cordillera Neuquen Norte
PIMET,828,AB72,CORDILLERA_NEUQUEN_SUR,Cordillera Neuquen Sur
PIMET,829,AA69,NEUQUEN,Neuquen
PIMET,830,AB73,CHOS_MALAL,Chos Malal
PIMET,831,AB74,ZAPALA,Zapala
PIMET,832,AA70,BARILOCHE,Bariloche
PIMET,833,AB21,SAN_ANTONIO_OESTE,San Antonio Oeste
PIMET,834,AB08,VIEDMA,Viedma
PIMET,835,AB75,CHOELE_CHOEL,Choele Choel
PIMET,836,AB76,VALCHETA,Valcheta
PIMET,837,AA73,MAQUINCHAO,Maquinchao
PIMET,838,AA71,CIPOLLETTI,Cipolletti
PIMET,839,AB77,CORDILLERA_SANTA_CRUZ_NORTE,Cordillera Santa Cruz Norte
PIMET,840,AB78,COMANDANTE_LUIS_PIEDRABUENA,Comandante Luis Piedrabuena
PIMET,841,AB09,CORDILLERA_SANTA_CRUZ_SUR,Cordillera Santa Cruz Sur
PIMET,842,AB23,GOBERNADOR_GREGORES,Gobernador Gregores
PIMET,843,AB24,PUERTO_DESEADO,Puerto Deseado
PIMET,845,AB26,PUERTO_SANTA_CRUZ,Puerto Santa Cruz
PIMET,846,AA79,RIO_GALLEGOS,Rio Gallegos
PIMET,847,AB79,PICO_TRUNCADO,Pico Truncado
PIMET,848,AA82,CERES,Ceres
PIMET,850,AA84,RECONQUISTA,Reconquista
PIMET,851,AA85,ROSARIO,Rosario
PIMET,852,AA86,SANTA_FE,Santa Fe
PIMET,853,AB13,SUNCHALES,Sunchales
PIMET,854,AA87,VENADO_TUERTO,Venado Tuerto
PIMET,855,AB80,AÑATUYA,Añatuya
PIMET,856,AB81,MONTE_QUEMADO,Monte Quemado
PIMET,857,AB82,QUIMILI,Quimili
PIMET,858,AA80,RIO_HONDO,Rio Hondo
PIMET,859,AA81,SANTIAGO_DEL_ESTERO,Santiago Del Estero
PIMET,1522,AB29,BASE_ESPERANZA,Base Esperanza
PIMET,1523,AB27,BASE_ORCADAS,Base Orcadas
PIMET,1524,AB30,BASE_BELGRANO_II,Base Belgrano Ii
PIMET,1525,AB31,BASE_JUBANY_(BASE_CARLINI),Base Jubany (Base Carlini)
PIMET,1526,AB32,BASE_MARAMBIO,Base Marambio
PIMET,1527,AB33,BASE_SAN_MARTIN,Base San Martin
PIMET,3330,AB83,CACHI,Cachi
PIMET,3331,AA44,SAN_FERNANDO_DEL_VALLE_DE_CAT,San Fernando Del Valle De Cat
PIMET,3333,AB84,QUINES,Quines
PIMET,3334,AB85,CORDILLERA_MENDOZA_SUR,Cordillera Mendoza Sur
PIMET,3335,AB86,CORDILLERA_CATAMARCA,Cordillera Catamarca
PIMET,3336,AB87,CORDILLERA_JUJUY,Cordillera Jujuy
PIMET,3337,AB88,CORDILLERA_MENDOZA_CENTRO,Cordillera Mendoza Centro
PIMET,3338,AB89,CORDILLERA_MENDOZA_NORTE,Cordillera Mendoza Norte
PIMET,3339,AB90,CORDILLERA_SALTA,Cordillera Salta
PIMET,3340,AC01,CORDILLERA_SAN_JUAN_NORTE,Cordillera San Juan Norte
PIMET,3341,AC02,CORDILLERA_SAN_JUAN_SUR,Cordillera San Juan Sur
PIMET,3343,AC03,BUENA_ESPERANZA,Buena Esperanza
PIMET,3344,AC04,IRUYA,Iruya
PIMET,3346,AA52,SAN_SALVADOR_DE_JUJUY,San Salvador De Jujuy
PIMET,3347,AA53,LA_QUIACA,La Quiaca
PIMET,3349,AA75,RIVADAVIA,Rivadavia
PIMET,3350,AA64,MALARGUE,Malargue
PIMET,3352,AA65,MENDOZA,Mendoza
PIMET,3354,AB11,METAN,Metan
PIMET,3356,AC05,SAN_ANTONIO_DE_LOS_COBRES,San Antonio De Los Cobres
PIMET,3357,AC06,HUMAHUACA,Humahuaca
PIMET,3358,AC07,MERLO,Merlo
PIMET,3359,AA76,SALTA,Salta
PIMET,3360,AB16,SAN_CARLOS,San Carlos
PIMET,3362,AA90,SAN_LUIS,San Luis
PIMET,3363,AC08,SIERRAS_SAN_LUIS,Sierras San Luis
PIMET,3364,AA67,SAN_MARTIN,San Martin
PIMET,3365,AB07,SAN_RAFAEL,San Rafael
PIMET,3366,AB01,SANTA_ROSA_DE_CONLARA,Santa Rosa De Conlara
PIMET,3369,AC09,SUSQUES,Susques
