Tipo,ID,Nombre,Descripcion,Lat,Lon,Altura
PIMET,784,SIERRA_VENTANA,Sierra Ventana,-38.15,-61.8,
PIMET,785,TANDIL,Tandil,-37.24,-59.23,
PIMET,786,TRENQUE_LAUQUEN,Trenque Lauquen,-35.97,-62.73,
PIMET,787,TRES_ARROYOS,Tres Arroyos,-38.36,-60.28,
PIMET,788,CARMEN_DE_PATAGONES,Carmen De Patagones,-40.78,-62.97,
PIMET,789,VILLA_GESELL,Villa Gesell,-37.24,-57.02,
PIMET,790,ZARATE,Zarate,-34.08,-59.03,
PIMET,791,JUAN_JOSE_CASTELLI,Juan Jose Castelli,-25.95,-60.62,
PIMET,792,RESISTENCIA,Resistencia,-27.44,-59.05,
PIMET,793,ROQUE_SAENZ_PEÑA,Roque Saenz Peña,-26.75,-60.49,
PIMET,794,TACO_POZO,Taco Pozo,-25.62,-63.26,
PIMET,795,ALTO_RIO_SENGUER,Alto Rio Senguer,-45.05,-70.83,
PIMET,796,CORDILLERA_CHUBUT_CENTRO,Cordillera Chubut Centro,-43.17,-71.75,
PIMET,797,CORDILLERA_CHUBUT_NORTE,Cordillera Chubut Norte,-42.11,-71.73,
PIMET,798,CORDILLERA_CHUBUT_SUR,Cordillera Chubut Sur,-45.92,-71.65,
PIMET,799,ESQUEL,Esquel,-42.91,-71.14,
PIMET,800,PASO_DE_INDIOS,Paso De Indios,-43.86,-69.05,
PIMET,801,SARMIENTO,Sarmiento,-45.59,-69.07,
PIMET,802,TRELEW,Trelew,-43.21,-65.28,
PIMET,803,ALTA_GRACIA,Alta Gracia,-31.67,-64.43,
PIMET,804,CRUZ_DEL_EJE,Cruz Del Eje,-30.73,-64.8,
PIMET,805,CORDOBA,Cordoba,-31.42,-64.2,
PIMET,806,JESUS_MARIA,Jesus Maria,-30.98,-64.1,
PIMET,807,LABOULAYE,Laboulaye,-34.13,-63.37,
PIMET,808,LA_CUMBRECITA,La Cumbrecita,-31.9,-64.77,
PIMET,809,MARCOS_JUAREZ,Marcos Juarez,-32.68,-62.15,
PIMET,810,RIO_CUARTO,Rio Cuarto,-33.1,-64.28,
PIMET,811,RIO_PRIMERO,Rio Primero,-31.33,-63.62,
PIMET,812,SAN_FRANCISCO,San Francisco,-31.43,-62.07,
PIMET,813,MINA_CLAVERO,Mina Clavero,-31.72,-65,
PIMET,814,VILLA_DOLORES,Villa Dolores,-31.95,-65.15,
PIMET,815,VILLA_MARIA_DEL_RIO_SECO,Villa Maria Del Rio Seco,-29.91,-63.73,
PIMET,816,VILLA_CARLOS_PAZ,Villa Carlos Paz,-31.43,-64.5,
PIMET,817,FORMOSA,Formosa,-26.21,-58.23,
PIMET,818,INGENIERO_JUAREZ,Ingeniero Juarez,-23.9,-61.85,
PIMET,819,LAS_LOMITAS,Las Lomitas,-24.7,-60.59,
PIMET,820,BERNASCONI,Bernasconi,-37.9,-63.74,
PIMET,821,GRAL_PICO,Gral Pico,-35.69,-63.76,
PIMET,822,LIHUEL_CALEL,Lihuel Calel,-37.98,-65.55,
PIMET,823,25_DE_MAYO,25 De Mayo,-37.77,-67.72,
PIMET,824,SANTA_ROSA,Santa Rosa,-36.59,-64.28,
PIMET,825,VICTORICA,Victorica,-36.22,-65.43,
PIMET,826,CORDILLERA_NEUQUEN_CENTRO,Cordillera Neuquen Centro,-40.16,-71.35,
PIMET,827,CORDILLERA_NEUQUEN_NORTE,Cordillera Neuquen Norte,-37.82,-71.12,
PIMET,828,CORDILLERA_NEUQUEN_SUR,Cordillera Neuquen Sur,-40.76,-71.65,
PIMET,829,NEUQUEN,Neuquen,-38.95,-68.14,
PIMET,830,CHOS_MALAL,Chos Malal,-37.38,-70.27,
PIMET,831,ZAPALA,Zapala,-38.9,-70.05,
PIMET,832,BARILOCHE,Bariloche,-41.15,-71.16,
PIMET,833,SAN_ANTONIO_OESTE,San Antonio Oeste,-40.76,-65.03,
PIMET,834,VIEDMA,Viedma,-40.86,-63.01,
PIMET,835,CHOELE_CHOEL,Choele Choel,-39.28,-65.65,
PIMET,836,VALCHETA,Valcheta,-40.7,-66.15,
PIMET,837,MAQUINCHAO,Maquinchao,-41.24,-68.71,
PIMET,838,CIPOLLETTI,Cipolletti,-38.94,-67.98,
PIMET,839,CORDILLERA_SANTA_CRUZ_NORTE,Cordillera Santa Cruz Norte,-46.58,-70.92,
